KHU VỰC A — CĂN CỨ & CHỌN NHÓM NGÀNH (đọc trước khi dùng bảng B),,
Hạng mục,Diễn giải,Giá trị / Công thức
Văn bản căn cứ,"Thông tư 40/2021/TT-BTC — Phụ lục I (biểu tỷ lệ % thuế khoán theo ngành nghề). MẪU — cần kế toán rà bản sửa đổi mới nhất.",TT40/2021/TT-BTC
Bảng này tính thuế của AI?,"Thuế khoán của CHÍNH BẠN — nhà bán online (người mua & dùng bộ Sheet này). KHÁC với thuế của BộMẫu (bên bán template = dịch vụ số, chịu 5%+2%).",Thuế của BẠN
Nhóm 1 — HÀNG HÓA (MẶC ĐỊNH cho nhà bán TikTok Shop/Shopee),"Bán lẻ hàng hóa vật lý qua sàn (thời trang, mỹ phẩm, gia dụng…) = nhóm 'phân phối, cung cấp hàng hóa'. Đây là nhóm của HẦU HẾT nhà bán TikTok Shop/Shopee — và KHỚP với bộ Sheet lãi-thật (hero) dùng 1,5%.","GTGT 1% + TNCN 0,5% = 1,5%"
Nhóm 2 — DỊCH VỤ (nếu bạn bán dịch vụ/khóa học/nội dung số),"Không giao hàng vật lý (dịch vụ, tư vấn, khóa học, template số…) = nhóm 'dịch vụ'.","GTGT 5% + TNCN 2% = 7%"
CHỌN NHÓM CỦA BẠN (gõ: hàng hóa / dịch vụ),"Mặc định 'hàng hóa'. Đổi thành 'dịch vụ' nếu bạn bán dịch vụ — công thức bên dưới tự đổi tỷ lệ.",hàng hóa
Tỷ lệ GTGT áp dụng (theo nhóm đã chọn),"=IF(ô_chọn_nhóm=""hàng hóa"";1%;5%)",1%
Tỷ lệ TNCN áp dụng (theo nhóm đã chọn),"=IF(ô_chọn_nhóm=""hàng hóa"";0,5%;2%)","0,5%"
CÔNG THỨC 1 — Thuế GTGT phải nộp,Doanh thu tính thuế trong kỳ × Tỷ lệ GTGT áp dụng,"= Doanh thu tính thuế × 1% (hàng hóa) / × 5% (dịch vụ)"
CÔNG THỨC 2 — Thuế TNCN phải nộp,Doanh thu tính thuế trong kỳ × Tỷ lệ TNCN áp dụng,"= Doanh thu tính thuế × 0,5% (hàng hóa) / × 2% (dịch vụ)"
CÔNG THỨC 3 — Tổng thuế khoán phải nộp trong kỳ,Thuế GTGT + Thuế TNCN,"= Doanh thu tính thuế × 1,5% (hàng hóa) / × 7% (dịch vụ)"
Cách xác định có phải nộp thuế không,"So DOANH THU LŨY KẾ 12 THÁNG GẦN NHẤT (không phải 1 tháng đơn lẻ) với ngưỡng miễn thuế đang áp dụng — dưới ngưỡng = KHÔNG nộp; từ ngưỡng trở lên = nộp trên TOÀN BỘ doanh thu năm.",[cần kế toán xác minh cách tính chính xác theo hướng dẫn mới nhất]
Ngưỡng miễn thuế ÁP DỤNG ĐẾN HẾT 2025,"Hộ/cá nhân KD có tổng doanh thu chịu thuế trong năm ≤ ngưỡng thì KHÔNG nộp GTGT & TNCN.",100.000.000 đ/năm [lịch sử — đã hết hiệu lực cho 2026 trở đi]
Ngưỡng miễn thuế TỪ 01/01/2026 (ĐANG THAY ĐỔI NHANH — chưa chốt 1 con số),"Điều chỉnh nhiều lần 2025-2026: đề xuất 200tr → Luật sửa đổi chốt 500tr → có nguồn báo nâng 1 tỷ đ/năm. CÁC NGUỒN CHƯA THỐNG NHẤT. Lộ trình bỏ thuế khoán → kê khai từ 01/01/2026.",[CẦN KẾ TOÁN/CƠ QUAN THUẾ XÁC MINH — có thể 500tr hoặc 1 tỷ đ/năm tùy văn bản còn hiệu lực]
,,
"KHU VỰC B — BẢNG TÍNH THEO THÁNG (điền số thật vào cột B,C — cột E-H tính theo công thức Khu vực A, mặc định HÀNG HÓA 1%/0,5%)",,,,,,,,
Tháng,Doanh thu bán hàng trong tháng (VNĐ),Doanh thu lũy kế 12 tháng gần nhất (VNĐ),Thuộc diện miễn thuế? (so ngưỡng — Có/Không),Doanh thu tính thuế nếu KHÔNG miễn (VNĐ),Thuế GTGT = cột E × 1% (VNĐ),Thuế TNCN = cột E × 0.5% (VNĐ),Tổng thuế tháng = F + G (VNĐ),Ghi chú
Tháng 1,,,,,,,,[điền số thật khi phát sinh doanh thu]
Tháng 2,,,,,,,,
Tháng 3,,,,,,,,
Tháng 4,,,,,,,,
Tháng 5,,,,,,,,
Tháng 6,,,,,,,,
Tháng 7,,,,,,,,
Tháng 8,,,,,,,,
Tháng 9,,,,,,,,
Tháng 10,,,,,,,,
Tháng 11,,,,,,,,
Tháng 12,,,,,,,,
Tổng năm,=SUM(cột B),—,—,=SUM(cột E),=SUM(cột F),=SUM(cột G),=SUM(cột H),
,,,,,,,,
KHU VỰC C — VÍ DỤ MINH HỌA (SỐ GIẢ ĐỊNH — KHÔNG PHẢI SỐ THẬT — nhóm HÀNG HÓA 1%/0.5%),,,,,,,,
Tháng,Doanh thu trong tháng (VNĐ),Doanh thu lũy kế 12 tháng (VNĐ),Thuộc diện miễn thuế?,Doanh thu tính thuế (VNĐ),Thuế GTGT (1%),Thuế TNCN (0.5%),Tổng thuế phải nộp,Ghi chú
Ví dụ 1 — dưới ngưỡng,15.000.000,60.000.000,Có (dưới mọi ngưỡng 500tr-1 tỷ),0,0,0,0,GĐ1 mới bán — chưa phải nộp thuế
Ví dụ 2 — trên ngưỡng (giả định vượt ngưỡng chỉ để minh họa công thức),15.000.000,600.000.000,Không (giả định vượt ngưỡng),15.000.000,150.000,75.000,225.000,"MINH HỌA — hàng hóa: 15.000.000 × 1% = 150.000đ (GTGT) + 15.000.000 × 0,5% = 75.000đ (TNCN) = 225.000đ. (Nếu bán DỊCH VỤ: × 7% = 1.050.000đ.)"
,,,,,,,,
GHI CHÚ QUAN TRỌNG,,,,,,,,
"Bảng này là MẪU tự tính tham khảo — KHÔNG thay tờ khai thuế chính thức. Trước khi kê khai/nộp thật, PHẢI có kế toán có chứng chỉ hành nghề rà: (1) ngưỡng miễn thuế chính xác đang áp dụng, (2) nhóm ngành đúng (hàng hóa 1,5% vs dịch vụ 7%) theo thứ BẠN bán, (3) kỳ kê khai phù hợp, (4) thuế/phí khác (môn bài…), (5) lộ trình bỏ thuế khoán → kê khai 2026.",,,,,,,,
